"Amount.Requested","Amount.Funded.By.Investors","Interest.Rate","Loan.Length","Loan.Purpose","Debt.To.Income.Ratio","State","Home.Ownership","Monthly.Income","FICO.Range","Open.CREDIT.Lines","Revolving.CREDIT.Balance","Inquiries.in.the.Last.6.Months","Employment.Length"
"79542",25000,25000,"18.49%","60 months","debt_consolidation","27.56%","VA","MORTGAGE",8606.56,"720-724",11,15210,3,"5 years"
"25800",8000,7925,"17.49%","36 months","debt_consolidation","18.72%","CA","RENT",2083.33,"695-699",4,20802,0,"10+ years"
"87287",12000,12000,"6.62%","36 months","debt_consolidation","12.36%","NY","RENT",4416.67,"765-769",12,4117,1,"3 years"
"33228",5000,5000,"6.03%","36 months","credit_card","15.74%","TX","RENT",3125,"765-769",11,4557,0,"6 years"
"27391",14000,14000,"9.99%","36 months","debt_consolidation","16.84%","MD","RENT",4583.33,"750-754",4,25,0,"2 years"
"49367",30000,30000,"22.78%","36 months","debt_consolidation","17.90%","IL","RENT",8791.67,"660-664",13,28012,2,"6 years"
"93501",10750,10750,"8.90%","36 months","debt_consolidation","6.04%","FL","OWN",2750,"765-769",5,4693,0,"5 years"
"32119",24000,23772.15,"12.99%","60 months","home_improvement","15.54%","NC","MORTGAGE",8333.33,"740-744",24,56984,0,"n/a"
"70177",10000,10000,"15.31%","36 months","debt_consolidation","19.98%","OK","MORTGAGE",6041.67,"670-674",7,6458,0,"1 year"
"77324",16550,16550,"17.27%","36 months","debt_consolidation","32.56%","MN","MORTGAGE",4333.33,"675-679",15,12163,1,"10+ years"
"31805",3300,3300,"5.99%","36 months","home_improvement","11.04%","NC","MORTGAGE",2500,"740-744",9,11144,0,"2 years"
"84318",8000,8000,"14.09%","36 months","debt_consolidation","21%","NJ","OWN",3500,"675-679",12,7498,0,"1 year"
"27415",35000,32117,"16.89%","60 months","debt_consolidation","16.84%","LA","RENT",5416.67,"745-749",5,39934,0,"1 year"
"40866",14000,14000,"10.65%","36 months","debt_consolidation","24.53%","WA","RENT",3200,"720-724",7,21214,1,"5 years"
"91596",18000,18000,"8.90%","60 months","debt_consolidation","5.30%","OK","MORTGAGE",8333.33,"755-759",8,5211,1,"6 years"
"25235",10000,9999.71,"13.49%","60 months","other","17.80%","IL","RENT",2500,"720-724",8,3822,2,"8 years"
"32747",3600,3600,"16.77%","36 months","vacation","13.45%","NY","RENT",8750,"670-674",8,51176,1,"1 year"
"17370",12000,10928.83,"5.79%","36 months","home_improvement","2.25%","GA","MORTGAGE",8000,"765-769",12,5193,0,"2 years"
"71470",4200,4200,"20.49%","60 months","other","28.80%","NV","RENT",3166.67,"660-664",16,7728,3,"1 year"
"5062",4200,4200,"14.61%","36 months","educational","15.28%","CA","RENT",6333.33,"665-669",11,15578,0,"1 year"
"28205",11200,11200,"21.74%","60 months","debt_consolidation","6.30%","NY","RENT",5583.33,"660-664",12,7952,2,"10+ years"
"28976",15000,15000,"15.99%","36 months","debt_consolidation","7.68%","VA","RENT",4583,"675-679",10,15821,0,"2 years"
"25084",12100,12100,"11.99%","36 months","small_business","24.78%","TX","RENT",8750,"755-759",10,1642,1,"1 year"
"14156",14000,13975,"13.98%","60 months","vacation","10.20%","GA","RENT",3145.83,"715-719",8,3449,0,"< 1 year"
"25665",4900,4900,"5.99%","36 months","home_improvement","6.64%","VA","MORTGAGE",2666.67,"770-774",5,3455,1,"4 years"
"83794",19200,19200,"12.12%","36 months","credit_card","29.58%","TX","OWN",3583.33,"715-719",11,29797,0,"8 years"
"52698",8500,8500,"9.76%","36 months","debt_consolidation","6.58%","CA","MORTGAGE",5333.33,"705-709",10,3432,0,"10+ years"
"7255",12000,11875,"7.88%","36 months","educational","14.79%","CA","RENT",3333.33,"760-764",8,1357,0,"2 years"
"44426",21000,21000,"19.22%","60 months","credit_card","13.87%","IL","MORTGAGE",6000,"680-684",10,17008,1,"10+ years"
"24464",35000,24868.47,"17.99%","60 months","home_improvement","6.39%","NH","MORTGAGE",14000,"715-719",7,3936,0,"10+ years"
"86039",10000,10000,"12.12%","36 months","credit_card","15.60%","MI","OWN",3833.33,"685-689",6,4734,0,"10+ years"
"23944",10000,9975,"17.99%","60 months","car","8.93%","CA","RENT",4300,"685-689",4,37,1,"10+ years"
"86982",12000,12000,"18.49%","36 months","debt_consolidation","9.44%","CA","OWN",5746,"660-664",12,9561,0,"4 years"
"28231",12000,10325,"11.99%","60 months","debt_consolidation","6.79%","CA","RENT",4166.67,"720-724",11,5934,0,"4 years"
"13795",4000,3945.6,"6.76%","36 months","moving","23.52%","KY","RENT",3350,"755-759",6,627,1,"1 year"
"70193",20000,20000,"19.72%","60 months","debt_consolidation","24.78%","GA","MORTGAGE",5416.67,"675-679",12,33166,0,"10+ years"
"47862",24375,24375,"13.99%","36 months","debt_consolidation","13.64%","PA","MORTGAGE",11500,"695-699",16,35461,0,"10+ years"
"1336",7500,4538.17,"9.07%","36 months","other","4.86%","FL","RENT",5000,"750-754",10,8575,1,"8 years"
"51954",9550,9550,"10.74%","36 months","debt_consolidation","14.33%","AL","MORTGAGE",4000,"700-704",8,9128,0,"3 years"
"49851",25000,24975,"20.50%","60 months","debt_consolidation","9.59%","OH","RENT",5077.58,"690-694",6,17946,0,"10+ years"
"5468",3600,3600,"12.87%","36 months","debt_consolidation","1.58%","NJ","MORTGAGE",6333,"690-694",6,12135,3,"< 1 year"
"21651",10000,10000,"11.11%","36 months","debt_consolidation","20.15%","NH","RENT",6083.33,"700-704",3,924,0,"< 1 year"
"59355",20000,20000,"6.62%","36 months","debt_consolidation","11.12%","CA","RENT",10333.33,"790-794",8,12632,0,"6 years"
"52708",35000,35000,"10.74%","36 months","home_improvement","9.30%","PA","MORTGAGE",8300,"740-744",7,4421,1,"10+ years"
"45529",12000,12000,"12.12%","36 months","credit_card","7.24%","NY","MORTGAGE",10416.67,"710-714",10,31489,1,"2 years"
"102356",5600,2025.01,"14.82%","36 months","other","20.60%","CA","RENT",6083.33,"655-659",7,2166,2,"2 years"
"60190",20000,20000,"7.90%","36 months","debt_consolidation","8.38%","CO","MORTGAGE",15000,"750-754",11,14621,2,"1 year"
"91073",18000,18000,"10.16%","36 months","debt_consolidation","26.08%","SC","MORTGAGE",5925,"710-714",14,23378,0,"10+ years"
"13378",8000,7575,"7.51%","36 months","debt_consolidation","4.40%","TX","MORTGAGE",2430,"765-769",5,2783,0,"2 years"
"52665",4000,4000,"9.76%","36 months","debt_consolidation","15.89%","CA","MORTGAGE",4166.67,"705-709",17,13745,1,"10+ years"
"33010",6000,5975,"7.90%","36 months","small_business","18.86%","PA","RENT",2100,"715-719",9,4847,0,"3 years"
"60968",15000,15000,"17.77%","36 months","debt_consolidation","13.34%","FL","MORTGAGE",4333.33,"670-674",9,17264,0,"10+ years"
"58987",20950,20950,"13.67%","60 months","major_purchase","8.90%","IL","RENT",6666.67,"745-749",7,5680,1,"1 year"
"50673",10625,10625,"7.90%","36 months","debt_consolidation","22.35%","OR","MORTGAGE",3333.33,"725-729",15,15946,0,"10+ years"
"68284",9000,9000,"10.16%","60 months","other","14.77%","AZ","RENT",3500,"755-759",5,3135,0,"2 years"
"4211",20000,11800,"11.48%","36 months","debt_consolidation","23.52%","AL","MORTGAGE",4166.67,"745-749",11,24123,1,"< 1 year"
"82804",25800,25800,"13.11%","36 months","credit_card","18.99%","VT","RENT",4833.33,"715-719",7,31427,0,"4 years"
"42421",10000,10000,"6.62%","36 months","debt_consolidation","11.45%","CA","OWN",4166.67,"760-764",20,10385,1,"6 years"
"3025",12000,7595.31,"11.58%","36 months","small_business","11.07%","CT","RENT",3333.33,"715-719",7,17495,0,"1 year"
"65055",18650,18650,"20.49%","36 months","debt_consolidation","20.07%","OH","MORTGAGE",4833.33,"660-664",12,17740,0,"10+ years"
"76355",10000,10000,"12.12%","36 months","credit_card","16.93%","CO","MORTGAGE",3816.67,"710-714",8,10830,2,"7 years"
"33155",14000,14000,"16.77%","36 months","credit_card","9.67%","FL","MORTGAGE",12083.33,"670-674",13,28318,0,"< 1 year"
"72641",14000,14000,"14.09%","36 months","small_business","27.50%","CA","RENT",9166.67,"695-699",17,18813,3,"8 years"
"104001",14400,13714.83,"17.56%","60 months","debt_consolidation","7.06%","NY","RENT",5000,"670-674",6,715,4,"3 years"
"69437",8000,8000,"14.33%","36 months","debt_consolidation","14.74%","CA","RENT",3108,"690-694",3,3072,0,"8 years"
"5511",12000,11925,"11.83%","36 months","moving","15.88%","VA","RENT",10250,"720-724",15,46336,2,"5 years"
"62057",24375,24375,"13.11%","36 months","debt_consolidation","10.86%","NV","OWN",10416.67,"705-709",11,19981,0,"6 years"
"33008",3500,3500,"7.90%","36 months","other","22.04%","VA","MORTGAGE",7247,"710-714",11,9592,0,"< 1 year"
"45527",7900,7900,"13.67%","36 months","debt_consolidation","8.40%","CA","RENT",3000,"675-679",5,8990,0,"2 years"
"78288",10000,10000,"12.12%","36 months","debt_consolidation","19.62%","CA","RENT",3640,"695-699",11,13124,0,"10+ years"
"32628",10400,10375,"17.58%","60 months","small_business","8.93%","CA","RENT",7110.42,"725-729",8,856,0,"10+ years"
"9708",7500,7450,"7.14%","36 months","debt_consolidation","8.61%","KY","MORTGAGE",2916.67,"755-759",6,7962,0,"2 years"
"66199",18800,18800,"14.33%","60 months","debt_consolidation","30.96%","AL","RENT",5000,"720-724",13,16397,0,"8 years"
"62657",21000,21000,"13.11%","36 months","debt_consolidation","18.44%","VA","MORTGAGE",7916.67,"695-699",10,9734,0,"7 years"
"54961",8500,8500,"6.62%","36 months","car","7.24%","CA","OWN",6300,"750-754",13,9769,1,"5 years"
"41326",13200,13200,"11.71%","36 months","credit_card","15.74%","NY","RENT",3791.67,"705-709",10,16187,1,"5 years"
"57425",3000,3000,"19.99%","60 months","other","19.63%","VA","MORTGAGE",4416.67,"710-714",4,0,1,"5 years"
"85229",19200,19200,"22.47%","60 months","credit_card","10.39%","AZ","RENT",5666.67,"670-674",5,17783,0,"< 1 year"
"36931",13600,13600,"18.64%","60 months","credit_card","12.85%","MN","RENT",5651.33,"675-679",13,24383,0,"10+ years"
"12114",6000,6000,"7.88%","36 months","vacation","9.60%","PA","MORTGAGE",5500,"730-734",6,790,1,"3 years"
"57120",22000,22000,"14.65%","60 months","debt_consolidation","29.26%","NC","MORTGAGE",3912,"705-709",8,21633,0,"10+ years"
"85883",12000,12000,"15.31%","36 months","debt_consolidation","13.80%","TX","MORTGAGE",3333.33,"665-669",10,16181,0,"10+ years"
"28326",5000,5000,"18.39%","36 months","vacation","13.71%","NJ","RENT",8125,"675-679",5,29602,0,"10+ years"
"74206",31050,30750,"7.90%","36 months","debt_consolidation","18.82%","GA","MORTGAGE",6500,"770-774",15,71549,0,"9 years"
"43999",10000,10000,"7.90%","36 months","major_purchase","12.80%","NJ","RENT",6666.67,"730-734",11,9261,0,"1 year"
"87114",10000,10000,"14.09%","36 months","debt_consolidation","21.45%","CA","RENT",3750,"700-704",4,18621,0,"10+ years"
"41413",13250,13250,"7.90%","36 months","debt_consolidation","22.64%","CO","RENT",2500,"740-744",7,12957,0,"< 1 year"
"43623",5000,5000,"14.27%","36 months","debt_consolidation","18.41%","CA","RENT",5208.33,"695-699",9,18055,1,"9 years"
"89511",14675,14675,"13.11%","36 months","debt_consolidation","24.74%","TX","RENT",3166.67,"710-714",14,5727,0,"< 1 year"
"22315",7000,6875,"10.00%","36 months","home_improvement","1.68%","CO","RENT",2375,"745-749",3,922,0,"< 1 year"
"100288",6000,6000,"17.77%","36 months","credit_card","32.76%","MI","OWN",1666.67,"665-669",12,15055,2,"< 1 year"
"43260",20000,20000,"12.69%","60 months","debt_consolidation","17.96%","RI","MORTGAGE",4500,"735-739",13,22946,1,"10+ years"
"76173",7000,7000,"12.12%","36 months","debt_consolidation","31.79%","SC","MORTGAGE",3916.67,"695-699",9,11648,3,"10+ years"
"88026",1500,1500,"12.12%","36 months","other","15.37%","CA","RENT",3625,"695-699",9,11346,1,"5 years"
"83857",35000,35000,"18.49%","36 months","debt_consolidation","16.33%","NY","RENT",11000,"705-709",15,13766,1,"n/a"
"46337",20000,20000,"18.25%","60 months","credit_card","12.90%","PA","OWN",6666.67,"695-699",17,8039,1,"6 years"
"34144",21000,21000,"14.27%","60 months","debt_consolidation","11.27%","GA","MORTGAGE",5333.33,"710-714",8,19431,0,"8 years"
"53780",12500,12475,"6.03%","36 months","car","14.82%","FL","RENT",4944.92,"755-759",11,6014,0,"2 years"
"101800",25000,2125,"15.01%","36 months","debt_consolidation","24.59%","GA","MORTGAGE",15416.67,"695-699",24,245886,7,"2 years"
"17016",9600,9600,"14.46%","60 months","debt_consolidation","10.27%","DE","RENT",5500,"680-684",8,8359,2,"3 years"
"9639",8100,8100,"13.85%","36 months","debt_consolidation","17.63%","FL","RENT",4600,"675-679",9,2963,0,"3 years"
"42760",15000,15000,"14.65%","36 months","debt_consolidation","20.07%","MI","MORTGAGE",3666.67,"690-694",11,13843,1,"5 years"
"18362",15000,14950,"16.32%","60 months","debt_consolidation","7.53%","MA","MORTGAGE",14000,"685-689",14,5469,4,"5 years"
"98619",11000,11000,"11.14%","36 months","debt_consolidation","16.57%","NJ","MORTGAGE",5000,"695-699",17,8734,0,"3 years"
"19598",9600,9600,"14.17%","36 months","credit_card","18.61%","NY","OWN",5416.67,"670-674",21,16278,1,"8 years"
"94218",25000,25000,"13.11%","36 months","debt_consolidation","18.52%","CA","RENT",5000,"775-779",11,4345,3,"2 years"
"83646",14550,14550,"13.11%","36 months","debt_consolidation","21.34%","WA","MORTGAGE",4583.33,"685-689",7,20141,0,"10+ years"
"56385",10000,10000,"10.74%","36 months","debt_consolidation","17.88%","CA","RENT",2500,"700-704",6,11120,0,"3 years"
"94994",24000,24000,"11.14%","60 months","debt_consolidation","20.98%","DC","OWN",8000,"705-709",9,20247,0,"2 years"
"38492",20000,19950,"10.65%","60 months","debt_consolidation","24.02%","KS","OWN",5200,"745-749",11,15709,0,"10+ years"
"11868",25000,24975,"11.49%","36 months","credit_card","11.78%","CA","MORTGAGE",25000,"725-729",14,37719,0,"7 years"
"71057",7200,7200,"17.77%","36 months","home_improvement","2.18%","NC","MORTGAGE",3250,"670-674",4,1301,1,"4 years"
"92024",5000,5000,"14.33%","36 months","debt_consolidation","11.12%","FL","RENT",2916.67,"675-679",5,4114,0,"10+ years"
"30137",20000,19975,"16.49%","60 months","debt_consolidation","16.16%","MN","MORTGAGE",5000,"710-714",13,20337,3,"10+ years"
"26323",5600,5600,"7.91%","36 months","major_purchase","20.21%","CA","RENT",3166.67,"730-734",12,32987,0,"6 years"
"48554",20000,20000,"7.90%","36 months","credit_card","1.30%","IL","RENT",10400,"750-754",5,6969,0,"1 year"
"76933",6000,6000,"8.90%","36 months","other","17.16%","NY","MORTGAGE",12500,"715-719",12,60368,2,"< 1 year"
"29775",3200,3200,"17.49%","60 months","debt_consolidation","7.90%","CA","RENT",2609,"670-674",9,5382,0,"3 years"
"100072",24375,24375,"14.09%","36 months","credit_card","26.36%","MT","MORTGAGE",4583.33,"710-714",11,27379,3,"4 years"
"78792",25225,25225,"12.12%","36 months","debt_consolidation","30.77%","CA","MORTGAGE",6500,"715-719",8,11736,0,"10+ years"
"13110",20000,19900,"15.95%","60 months","debt_consolidation","12.20%","VA","MORTGAGE",6666.67,"700-704",12,20744,1,"5 years"
"74037",30225,30225,"17.77%","36 months","credit_card","28.15%","TX","MORTGAGE",8333.33,"710-714",21,28631,0,"10+ years"
"5465",7000,7000,"7.40%","36 months","credit_card","8.89%","AZ","MORTGAGE",3352,"770-774",14,14014,2,"< 1 year"
"23345",35000,14869.55,"15.65%","60 months","home_improvement","26.19%","FL","MORTGAGE",6308.75,"735-739",14,34883,0,"10+ years"
"59271",7575,7575,"9.76%","36 months","debt_consolidation","10.99%","TX","RENT",2375,"725-729",3,5640,0,"3 years"
"54197",15000,15000,"13.11%","36 months","other","16.55%","PA","RENT",4166.67,"695-699",11,9066,0,"2 years"
"45525",24000,24000,"15.81%","60 months","small_business","0.62%","NY","OWN",10000,"725-729",8,0,3,"10+ years"
"94545",19800,19775,"15.31%","60 months","debt_consolidation","15.03%","IL","MORTGAGE",6666.67,"675-679",10,46879,3,"6 years"
"10785",9250,6475,"10.75%","60 months","small_business","3.41%","CA","MORTGAGE",8500,"755-759",6,105060,0,"4 years"
"42562",6000,6000,"15.96%","36 months","debt_consolidation","6.38%","NC","MORTGAGE",6916.67,"660-664",7,6309,1,"6 years"
"70606",3500,3500,"15.31%","36 months","other","7.14%","NY","RENT",5000,"685-689",2,14064,0,"1 year"
"102226",7200,5675,"14.82%","36 months","debt_consolidation","9.67%","CA","RENT",4500,"645-649",7,6572,1,"6 years"
"56056",12000,12000,"6.03%","36 months","medical","22.57%","MT","MORTGAGE",7500,"760-764",8,5116,0,"10+ years"
"53245",20000,20000,"7.90%","36 months","credit_card","13.59%","CA","RENT",7258.33,"730-734",5,14268,0,"9 years"
"71531",3900,3900,"12.12%","36 months","debt_consolidation","7.55%","HI","MORTGAGE",2583.33,"685-689",8,3724,0,"1 year"
"45828",16000,16000,"19.22%","60 months","credit_card","21.28%","NC","RENT",3416.67,"680-684",8,26060,1,"10+ years"
"28189",15000,15000,"15.99%","36 months","other","11.34%","SC","MORTGAGE",8583.33,"675-679",6,3844,2,"7 years"
"55542",28200,28200,"20.50%","60 months","debt_consolidation","15.60%","NY","MORTGAGE",4833.33,"695-699",18,27158,0,"9 years"
"26424",15000,14975,"13.49%","36 months","small_business","3.44%","AK","RENT",6666.67,"705-709",3,2698,0,"< 1 year"
"27371",7400,7400,"13.99%","36 months","other","20.52%","NY","RENT",4166.25,"675-679",17,6653,1,"n/a"
"24445",15000,15000,"10.59%","36 months","debt_consolidation","14.66%","MA","RENT",5150,"730-734",9,5116,2,"2 years"
"25133",4500,4500,"5.99%","36 months","debt_consolidation","21.46%","NY","RENT",3644.83,"765-769",8,1058,2,"< 1 year"
"72072",3000,3000,"14.09%","36 months","debt_consolidation","12.36%","NC","RENT",4789.33,"680-684",9,1353,2,"10+ years"
"43844",9000,9000,"14.27%","36 months","debt_consolidation","18.74%","TX","RENT",5833.33,"675-679",13,11637,3,"8 years"
"60894",4000,4000,"8.90%","36 months","credit_card","24.11%","FL","RENT",4583.33,"705-709",17,11351,0,"1 year"
"59206",10000,10000,"17.27%","36 months","credit_card","21.84%","MI","MORTGAGE",2916.67,"665-669",18,21245,0,"10+ years"
"24426",6400,6400,"15.99%","60 months","debt_consolidation","24.43%","NY","RENT",3500,"690-694",9,973,0,"4 years"
"91173",4325,4325,"10.16%","36 months","debt_consolidation","1.79%","GA","MORTGAGE",11000,"715-719",9,75,3,"n/a"
"56404",12000,12000,"13.11%","36 months","debt_consolidation","17.04%","WA","MORTGAGE",4583.33,"695-699",9,41871,0,"3 years"
"75634",10000,10000,"15.31%","36 months","debt_consolidation","10.40%","CA","RENT",9000,"665-669",12,5141,0,"10+ years"
"93296",12000,12000,"10.16%","36 months","home_improvement","8.05%","MA","MORTGAGE",6250,"720-724",9,11626,0,"< 1 year"
"69885",6000,6000,"12.12%","36 months","debt_consolidation","4.94%","WI","MORTGAGE",4333.33,"690-694",12,9656,2,"5 years"
"31787",2200,2200,"13.49%","36 months","debt_consolidation","3.27%","WA","OWN",6666.67,"700-704",2,10142,0,"5 years"
"38073",5000,5000,"14.27%","36 months","debt_consolidation","17%","FL","OWN",5000,"670-674",9,14748,3,"1 year"
"25600",12000,12000,"19.69%","60 months","debt_consolidation","16.23%","NV","RENT",3376,"665-669",12,8437,1,"4 years"
"36576",3000,3000,"7.90%","36 months","credit_card","22.03%","PA","MORTGAGE",5583.33,"705-709",15,12968,0,"3 years"
"81991",30000,30000,"21.49%","60 months","debt_consolidation","16.89%","NY","MORTGAGE",13999.17,"700-704",14,61579,0,"10+ years"
"73434",10800,10800,"12.12%","36 months","debt_consolidation","26.70%","NJ","RENT",5833.33,"695-699",6,27585,0,"5 years"
"50956",10500,10500,"18.25%","36 months","debt_consolidation","11.52%","GA","MORTGAGE",8750,"660-664",15,9984,3,"8 years"
"45189",10000,10000,"6.62%","36 months","debt_consolidation","5.49%","CA","MORTGAGE",10833.33,"755-759",5,40827,0,"7 years"
"80144",24000,23950,"12.12%","36 months","debt_consolidation","26.68%","TX","MORTGAGE",5791.67,"715-719",13,34104,0,"10+ years"
"77251",16000,16000,"14.09%","36 months","debt_consolidation","2.85%","CA","MORTGAGE",3333.33,"690-694",6,3909,0,"7 years"
"49782",15000,15000,"13.99%","36 months","debt_consolidation","12.60%","MI","MORTGAGE",3500,"705-709",7,13036,1,"10+ years"
"101411",9500,9500,"21.98%","36 months","other","16.01%","PA","RENT",4500,"660-664",7,3673,1,"3 years"
"81782",35000,35000,"19.05%","36 months","debt_consolidation","15.75%","FL","MORTGAGE",18750,"690-694",21,73813,1,"4 years"
"71268",5000,5000,"7.90%","36 months","debt_consolidation","21.82%","TX","MORTGAGE",4166.67,"725-729",8,15502,1,"n/a"
"38833",15000,15000,"11.71%","36 months","debt_consolidation","11.70%","FL","RENT",6250,"700-704",6,6622,0,"6 years"
"69249",5000,5000,"15.31%","36 months","debt_consolidation","17.37%","GA","RENT",1750,"675-679",3,10361,0,"< 1 year"
"5299",19000,18975,"11.14%","36 months","debt_consolidation","19.83%","CA","RENT",4548.83,"775-779",12,33809,1,"5 years"
"61835",11625,11625,"15.80%","36 months","debt_consolidation","31.12%","OK","RENT",2860,"680-684",14,8374,2,"7 years"
"64769",25000,25000,"7.62%","36 months","wedding","13.45%","NY","RENT",6750,"750-754",16,17193,0,"5 years"
"35250",8000,8000,"12.69%","36 months","debt_consolidation","7.67%","AL","OWN",7916.67,"685-689",4,1442,0,"6 years"
"7007",9800,9675,"8.59%","36 months","major_purchase","14.99%","HI","MORTGAGE",3583.33,"760-764",12,5164,0,"3 years"
"2577",6000,5975,"8.00%","36 months","wedding","1.06%","NY","RENT",5000,"765-769",6,7161,0,"3 years"
"37863",10200,10200,"12.42%","36 months","debt_consolidation","17.86%","CO","MORTGAGE",5833.33,"705-709",9,9817,2,"4 years"
"34551",10500,10500,"6.62%","36 months","medical","16.26%","OK","MORTGAGE",4853.33,"760-764",9,2816,1,"3 years"
"38905",5000,5000,"7.90%","36 months","small_business","7.75%","IL","MORTGAGE",5500,"725-729",11,16396,3,"< 1 year"
"53762",17500,17500,"7.90%","36 months","small_business","7.97%","CA","RENT",5416.67,"810-814",4,17,0,"< 1 year"
"32323",4000,4000,"19.03%","36 months","other","10.56%","CA","RENT",1600,"685-689",2,299,0,"6 years"
"49042",22000,22000,"12.12%","36 months","debt_consolidation","16.93%","NY","RENT",3916.67,"715-719",4,22142,0,"1 year"
"16346",5000,4900,"5.79%","36 months","other","9.18%","NY","RENT",5520,"750-754",10,7351,0,"7 years"
"100424",8000,8000,"16.29%","36 months","credit_card","29.19%","IL","MORTGAGE",6916.67,"685-689",14,21498,2,"4 years"
"75831",19125,19125,"18.49%","60 months","other","29.10%","GA","RENT",4166.67,"700-704",14,28108,3,"6 years"
"67863",16000,16000,"12.12%","36 months","debt_consolidation","18.23%","NY","RENT",4166.67,"700-704",14,16309,0,"1 year"
"103546",4500,4500,"14.59%","36 months","vacation","17.35%","NY","OWN",6000,"660-664",18,5197,4,"2 years"
"50874",5800,5800,"22.45%","60 months","other","11.86%","CA","RENT",1416.67,"665-669",3,6077,2,"6 years"
"101548",10000,525,"14.70%","36 months","credit_card","6.37%","FL","RENT",5416.67,"645-649",4,2211,6,"< 1 year"
"80841",16750,16750,"18.75%","36 months","debt_consolidation","8.84%","FL","MORTGAGE",5666.67,"680-684",8,13567,1,"4 years"
"65855",3600,3600,"12.12%","36 months","debt_consolidation","27.16%","CA","OWN",3333.33,"695-699",15,12153,1,"10+ years"
"26919",10000,10000,"15.62%","36 months","debt_consolidation","12.19%","NY","RENT",7500,"670-674",12,17133,1,"10+ years"
"31098",6000,6000,"5.42%","36 months","vacation","1.51%","MD","OWN",4250,"800-804",14,1838,0,"10+ years"
"68962",10000,10000,"7.62%","36 months","medical","13.26%","MN","MORTGAGE",7416.67,"735-739",12,16297,2,"10+ years"
"61493",10000,10000,"17.77%","36 months","credit_card","5.80%","CO","RENT",7166.67,"685-689",3,15279,1,"10+ years"
"28574",5000,5000,"7.49%","36 months","home_improvement","16.45%","VA","MORTGAGE",18750,"745-749",10,129071,0,"10+ years"
"69724",35000,34950,"23.76%","60 months","debt_consolidation","24.22%","NY","RENT",7331.25,"665-669",16,28687,2,"4 years"
"33068",7000,7000,"7.90%","36 months","wedding","20.72%","CT","RENT",6000,"715-719",9,6659,0,"< 1 year"
"1342",3000,1647.62,"10.20%","36 months","major_purchase","0.33%","CT","RENT",4583.33,"800-804",3,37,0,"< 1 year"
"31200",28000,28000,"15.62%","36 months","debt_consolidation","5.70%","GA","MORTGAGE",6250,"695-699",6,11923,1,"3 years"
"10264",15200,6800,"15.58%","60 months","home_improvement","19.22%","DC","MORTGAGE",12083.33,"690-694",20,19712,2,"2 years"
"49920",15775,15775,"14.65%","36 months","other","3.37%","NY","RENT",4000,"710-714",11,4058,1,"10+ years"
"30441",30000,22425,"10.59%","36 months","home_improvement","8.15%","MN","MORTGAGE",22916.67,"765-769",13,1945,0,"4 years"
"33148",3000,3000,"9.91%","36 months","wedding","4.75%","IL","OWN",4166.67,"710-714",9,7321,3,"6 years"
"79022",15350,15350,"18.49%","36 months","debt_consolidation","15.09%","GA","MORTGAGE",4400,"670-674",7,12823,0,"10+ years"
"45222",26500,26500,"9.76%","60 months","small_business","17.19%","NY","MORTGAGE",5416.67,"785-789",13,9966,0,"10+ years"
"22768",6400,6400,"6.00%","60 months","home_improvement","3.09%","FL","MORTGAGE",6250,"695-699",5,241,0,"3 years"
"96412",13200,13200,"14.33%","36 months","debt_consolidation","28.75%","CA","RENT",3833.33,"695-699",9,8568,1,"10+ years"
"29340",12000,12000,"11.49%","36 months","debt_consolidation","17.73%","CA","MORTGAGE",7300,"705-709",9,38342,0,"4 years"
"73863",4000,4000,"6.03%","36 months","car","33.67%","GA","MORTGAGE",7917,"800-804",19,55123,1,"10+ years"
"32269",2500,2500,"6.62%","36 months","home_improvement","10.96%","MD","MORTGAGE",6166.67,"730-734",14,24495,0,"10+ years"
"45097",28000,27925,"18.55%","36 months","debt_consolidation","8.99%","LA","MORTGAGE",6666.67,"700-704",6,14189,2,"n/a"
"62353",9000,8975,"8.90%","36 months","debt_consolidation","7.33%","CA","RENT",12500,"730-734",4,12964,0,"5 years"
"53042",6600,6600,"6.03%","36 months","home_improvement","16.69%","NC","MORTGAGE",6250,"750-754",14,17258,0,"10+ years"
"92363",27050,27050,"17.27%","60 months","credit_card","27.59%","WA","MORTGAGE",5025,"705-709",13,40037,1,"10+ years"
"27374",4800,4800,"15.99%","36 months","major_purchase","0%","IL","RENT",4583.33,"675-679",2,0,0,"6 years"
"67953",7550,7550,"10.16%","36 months","debt_consolidation","3.83%","CA","MORTGAGE",8333.33,"710-714",10,10204,0,"2 years"
"5880",10000,10000,"7.74%","36 months","debt_consolidation","0.17%","OR","MORTGAGE",7083.33,"775-779",9,2994,0,"10+ years"
"3031",12500,12275,"11.26%","36 months","credit_card","12.21%","TX","RENT",4333.33,"730-734",6,12568,2,"8 years"
"92244",27575,27575,"19.05%","36 months","debt_consolidation","19.30%","WI","RENT",5166.67,"660-664",6,14935,1,"10+ years"
"61500",20000,20000,"13.11%","36 months","debt_consolidation","3.94%","IL","MORTGAGE",7238.92,"720-724",6,11751,3,"10+ years"
"7002",15000,14900,"14.61%","36 months","major_purchase","9.17%","TX","RENT",3000,"730-734",8,0,2,"< 1 year"
"53002",18000,18000,"8.90%","36 months","home_improvement","12.79%","NV","MORTGAGE",10500,"730-734",15,4856,2,"< 1 year"
